date,trades_count,total_pnl,avg_pnl,total_vol,avg_lev,cum_pnl,daily_return,rolling_vol_14,drawdown,max_drawdown_pct,sentiment_raw,sentiment_label
2024-08-08,9,-40.712216999999995,-4.5235796666666666,16299.35,,444297.87394400005,-40.712216999999995,22706.759276479064,-40.712217000022065,-9.162431143283634e-05,20.0,fear
2024-08-09,1,0.0,0.0,0.11,,444297.87394400005,0.0,22790.328057598334,-40.712217000022065,-9.162431143283634e-05,48.0,fear
2024-08-10,36,5396.546638,149.90407327777777,434584.13,,449694.42058200005,5396.546638,22711.483082392628,0.0,0.0,40.0,fear
2024-08-11,39,-64.41354100000007,-1.6516292564102582,270700.44,,449630.00704100006,-64.41354100000007,22717.67335924271,-64.41354099998716,-0.00014323847050767835,39.0,fear
2024-08-12,420,15965.933436,38.014127228571425,932939.72,,465595.9404770001,15965.933436,22725.26236755463,0.0,0.0,25.0,fear
2024-09-01,70,-826.349863,-11.804998042857143,870051.97,,464769.5906140001,-826.349863,22840.022832821036,-826.3498629999813,-0.0017748218812934091,26.0,fear
2024-09-03,117,9949.501624,85.03847541880343,658178.75,,474719.0922380001,9949.501624,4875.04544559363,0.0,0.0,26.0,fear
2024-09-04,3,0.0,0.0,57063.840000000004,,474719.0922380001,0.0,4863.312859337992,0.0,0.0,27.0,fear
2024-09-05,28,1147.595856,40.985566285714285,221966.12,,475866.6880940001,1147.595856,4853.2837020911,0.0,0.0,29.0,fear
2024-09-06,17,0.0,0.0,22410.22,,475866.6880940001,0.0,4877.934424918648,0.0,0.0,22.0,fear
2024-09-07,15,648.984412,43.265627466666665,2736.45,,476515.6725060001,648.984412,4890.43931795618,0.0,0.0,23.0,fear
2024-09-08,144,18082.071276,125.56993941666666,503204.86,,494597.7437820001,18082.071276,6391.553203190913,0.0,0.0,29.0,fear
2024-09-09,2,0.0,0.0,4014.4300000000003,,494597.7437820001,0.0,6397.03715208143,0.0,0.0,26.0,fear
2024-09-10,14,396.06272,28.290194285714286,220399.93,,494993.8065020001,396.06272,6380.794950147959,0.0,0.0,33.0,fear
2024-09-11,86,102.90894,1.196615581395349,193384.41,,495096.7154420001,102.90894,6374.572234134672,0.0,0.0,37.0,fear
2024-09-12,539,6310.967676,11.708659881261596,983949.68,,501407.68311800004,6310.967676,6321.16170657675,0.0,0.0,31.0,fear
2024-10-01,193,-1517.091342,-7.860576901554404,2057479.48,,499890.59177600004,-1517.091342,6478.437666536164,-1517.0913419999997,-0.0030256643308015363,50.0,fear
2024-10-03,42,2482.9272,59.117314285714286,219973.85,,502373.518976,2482.9272,6403.380196659432,0.0,0.0,37.0,fear
2024-10-04,41,5207.443414,127.01081497560976,351735.97,,507580.96239,5207.443414,5392.619438224571,0.0,0.0,41.0,fear
2024-10-05,22,2101.741695,95.53371340909092,156882.0,,509682.704085,2101.741695,5288.62530278362,0.0,0.0,49.0,fear
2024-10-06,53,31.266804999999998,0.589939716981132,46587.93,,509713.97089,31.266804999999998,4970.861933804673,0.0,0.0,50.0,fear
2024-10-07,56,11977.734907,213.88812333928573,687900.21,,521691.705797,11977.734907,5509.165299831945,0.0,0.0,50.0,fear
2024-10-08,88,0.0,0.0,11339.29,,521691.705797,0.0,5552.902779330996,0.0,0.0,49.0,fear
2024-10-09,3,-219.729659,-73.24321966666666,2547.28,,521471.97613799997,-219.729659,5563.167043094782,-219.72965900000418,-0.0004211867977933492,49.0,fear
2024-10-10,16,0.0,0.0,300024.33999999997,,521471.97613799997,0.0,5589.218007665082,-219.72965900000418,-0.0004211867977933492,39.0,fear
2024-10-11,173,991.114334,5.728984589595376,413636.7,,522463.09047199995,991.114334,3605.8933131113567,0.0,0.0,32.0,fear
2024-10-12,1596,39325.770231,24.640206911654136,3150424.08,,561788.860703,39325.770231,10555.8449855395,0.0,0.0,49.0,fear
2024-11-01,21,-164.08950099999998,-7.813785761904761,305314.1,,561624.771202,-164.08950099999998,10574.8635985113,-164.08950100000948,-0.0002920839348695692,75.0,greed
2024-11-02,34,983.443176,28.924799294117648,212311.82,,562608.214378,983.443176,10547.621901295599,0.0,0.0,72.0,greed
2024-11-03,42,3588.179495,85.43284511904761,176519.44999999998,,566196.393873,3588.179495,10543.161725526814,0.0,0.0,74.0,greed
2024-11-04,16,389.743164,24.35894775,76400.96,,566586.137037,389.743164,10469.733752662725,0.0,0.0,70.0,greed
2024-11-05,9,251.604742,27.956082444444444,63248.95,,566837.741779,251.604742,10523.97214933247,0.0,0.0,70.0,greed
2024-11-06,123,4320.631811,35.12708789430894,373279.92,,571158.3735900001,4320.631811,10522.733224877797,0.0,0.0,70.0,greed
2024-11-07,19,1876.812082,98.77958326315789,169887.02,,573035.185672,1876.812082,10526.915322789293,0.0,0.0,77.0,greed
2024-11-08,24,847.7766200000001,35.32402583333334,44230.21,,573882.9622920001,847.7766200000001,10502.335727298949,0.0,0.0,75.0,greed
2024-11-09,1,0.0,0.0,0.54,,573882.9622920001,0.0,10340.264433418542,0.0,0.0,75.0,greed
2024-11-10,26,8885.327477,341.74336450000004,488904.19,,582768.289769,8885.327477,10366.498037109332,0.0,0.0,78.0,greed
2024-11-11,373,6749.630996,18.09552545844504,1570572.42,,589517.920765,6749.630996,10296.624619409911,0.0,0.0,76.0,greed
2024-11-12,1221,319051.554217,261.30348420720725,2194098.33,,908569.4749820001,319051.554217,84489.28742620906,0.0,0.0,80.0,greed
2024-12-01,7,-1925.519024,-275.0741462857143,200082.27,,906643.955958,-1925.519024,84563.64123259282,-1925.5190240000375,-0.0021192865014952877,81.0,greed
2024-12-02,16,913.8817869999998,57.11761168749999,227247.69999999998,,907557.837745,913.8817869999998,84771.28024672762,-1011.6372370000463,-0.0011134396046269535,80.0,greed
2024-12-03,8,3039.166,379.89575,103040.85,,910597.003745,3039.166,84703.31002176221,0.0,0.0,76.0,greed
2024-12-04,129,-592.6458390000001,-4.594153790697676,442088.59,,910004.357906,-592.6458390000001,84738.62036218814,-592.6458390000043,-0.0006508321865354993,78.0,greed
2024-12-05,23,0.0,0.0,55179.56,,910004.357906,0.0,84813.15152001622,-592.6458390000043,-0.0006508321865354993,84.0,greed
2024-12-06,254,-21886.531493,-86.16744682283463,193407.96,,888117.826413,-21886.531493,85507.55727773682,-22479.177331999992,-0.024686197340371363,72.0,greed
2024-12-07,19,1412.314654,74.33235021052631,89582.97,,889530.141067,1412.314654,85484.39833539799,-21066.862678000005,-0.0231352207303106,75.0,greed
2024-12-08,48,858.6705000000001,17.88896875,54167.32,,890388.811567,858.6705000000001,85547.72698194307,-20208.192177999998,-0.022192245411405964,79.0,greed
2024-12-10,10,541.55471,54.155471,159713.4,,890930.366277,541.55471,85573.59124545695,-19666.637467999943,-0.021597520513594093,78.0,greed
2024-12-11,171,3494.399394,20.435084175438597,1226354.52,,894424.765671,3494.399394,85524.49620034372,-16172.238073999994,-0.017760038752037022,74.0,greed
2024-12-12,1932,599151.795008,310.1199767122153,4557189.87,,1493576.5606789999,599151.795008,175629.15070714327,0.0,0.0,83.0,greed
2025-01-01,96,-9528.065345,-99.25068067708334,282582.1,,1484048.4953339999,-9528.065345,176155.44672802696,-9528.06534500001,-0.0063793618592061785,66.0,greed
2025-01-02,634,32300.205017,50.946695610410096,1363746.44,,1516348.7003509998,32300.205017,175644.09087647946,0.0,0.0,70.0,greed
2025-01-03,174,10596.108968,60.897177977011495,263824.13,,1526944.8093189998,10596.108968,160149.97603272574,0.0,0.0,74.0,greed
2025-01-04,192,-2202.6622420000003,-11.472199177083334,704445.1900000001,,1524742.1470769998,-2202.6622420000003,160156.12910314897,-2202.6622419999912,-0.0014425290479113118,73.0,greed
2025-01-05,1230,54536.829297000004,44.338885607317074,10720240.52,,1579278.9763739998,54536.829297000004,159683.0911871092,0.0,0.0,72.0,greed
2025-02-01,361,8716.519087,24.145482235457067,774674.84,,1587995.495461,8716.519087,159567.34871408716,0.0,0.0,68.0,greed
2025-02-02,1319,162854.759623,123.46835452843062,5661092.29,,1750850.2550839998,162854.759623,161673.62748478027,0.0,0.0,60.0,greed
2025-02-03,532,66914.320708,125.77879832330827,6460848.74,,1817764.575792,66914.320708,160747.91592021345,0.0,0.0,44.0,fear
2025-02-04,1076,202212.740938,187.930056633829,3867930.6,,2019977.3167299998,202212.740938,162594.634322445,0.0,0.0,72.0,greed
2025-03-01,508,6028.486793,11.867099986220472,771208.99,,2026005.8035229999,6028.486793,162425.74967821222,0.0,0.0,20.0,fear
2025-03-02,2380,348871.326269,146.58459086932774,22592901.37,,2374877.1297919997,348871.326269,175307.64905843444,0.0,0.0,26.0,fear
2025-03-03,1482,616413.032233,415.9332201302294,8244590.38,,2991290.162025,616413.032233,218700.77190069042,0.0,0.0,33.0,fear
